alphabet,dim,size,querytype,method,k,ns
generic,625,389,miss,prefix,1,22.0
generic,625,389,miss,prefix,2,24.9
generic,625,389,miss,prefix,4,30.5
generic,625,389,miss,prefix,8,65.7
generic,625,389,miss,prefix,16,104.2
generic,625,389,miss,prefix,32,174.0
generic,625,389,miss,prefix,64,249.6
generic,625,389,miss,prefix,625,1466.6
generic,625,389,hit,scan,0,474.7
generic,625,389,hit,prefix,1,369.4
generic,625,389,hit,prefix,2,369.9
generic,625,389,hit,prefix,4,379.7
generic,625,389,hit,prefix,8,386.9
generic,625,389,hit,prefix,16,411.6
generic,625,389,hit,prefix,32,467.6
generic,625,389,hit,prefix,64,567.2
generic,625,389,hit,prefix,625,2235.6
generic,625,389,mix,scan,0,398.3
generic,625,389,mix,prefix,1,203.0
generic,625,389,mix,prefix,2,206.8
generic,625,389,mix,prefix,4,211.7
generic,625,389,mix,prefix,8,218.1
generic,625,389,mix,prefix,16,242.4
generic,625,389,mix,prefix,32,285.2
generic,625,389,mix,prefix,64,372.2
generic,625,389,mix,prefix,625,1896.5
generic,625,500,miss,scan,0,415.4
generic,625,500,miss,prefix,1,21.9
generic,625,500,miss,prefix,2,22.6
generic,625,500,miss,prefix,4,30.0
generic,625,500,miss,prefix,8,65.8
generic,625,500,miss,prefix,16,106.3
generic,625,500,miss,prefix,32,175.5
generic,625,500,miss,prefix,64,249.9
generic,625,500,miss,prefix,625,1474.5
generic,625,500,hit,scan,0,521.7
generic,625,500,hit,prefix,1,368.4
generic,625,500,hit,prefix,2,379.2
generic,625,500,hit,prefix,4,376.8
generic,625,500,hit,prefix,8,408.7
generic,625,500,hit,prefix,16,426.0
generic,625,500,hit,prefix,32,479.5
generic,625,500,hit,prefix,64,570.9
generic,625,500,hit,prefix,625,2259.2
generic,625,500,mix,scan,0,481.0
generic,625,500,mix,prefix,1,172.7
generic,625,500,mix,prefix,2,178.3
generic,625,500,mix,prefix,4,190.6
generic,625,500,mix,prefix,8,203.6
generic,625,500,mix,prefix,16,220.1
generic,625,500,mix,prefix,32,272.9
generic,625,500,mix,prefix,64,365.7
generic,625,500,mix,prefix,625,1919.8
generic,625,750,miss,scan,0,740.0
generic,625,750,miss,prefix,1,22.1
generic,625,750,miss,prefix,2,25.8
generic,625,750,miss,prefix,4,32.6
generic,625,750,miss,prefix,8,65.8
generic,625,750,miss,prefix,16,105.2
generic,625,750,miss,prefix,32,174.7
generic,625,750,miss,prefix,64,249.8
generic,625,750,miss,prefix,625,1502.8
generic,625,750,hit,scan,0,697.6
generic,625,750,hit,prefix,1,405.7
generic,625,750,hit,prefix,2,407.7
generic,625,750,hit,prefix,4,385.8
generic,625,750,hit,prefix,8,397.5
generic,625,750,hit,prefix,16,428.3
generic,625,750,hit,prefix,32,488.9
generic,625,750,hit,prefix,64,598.5
generic,625,750,hit,prefix,625,2254.0
generic,625,750,mix,scan,0,676.4
generic,625,750,mix,prefix,1,226.0
generic,625,750,mix,prefix,2,231.0
generic,625,750,mix,prefix,4,228.9
generic,625,750,mix,prefix,8,237.1
generic,625,750,mix,prefix,16,265.6
generic,625,750,mix,prefix,32,312.7
generic,625,750,mix,prefix,64,396.2
generic,625,750,mix,prefix,625,1941.0
generic,625,1000,miss,scan,0,932.6
generic,625,1000,miss,prefix,1,23.6
generic,625,1000,miss,prefix,2,25.0
generic,625,1000,miss,prefix,4,33.8
generic,625,1000,miss,prefix,8,64.6
generic,625,1000,miss,prefix,16,101.5
generic,625,1000,miss,prefix,32,171.2
generic,625,1000,miss,prefix,64,245.4
generic,625,1000,miss,prefix,625,1477.4
generic,625,1000,hit,scan,0,782.3
generic,625,1000,hit,prefix,1,384.7
generic,625,1000,hit,prefix,2,388.1
generic,625,1000,hit,prefix,4,400.2
generic,625,1000,hit,prefix,8,399.5
generic,625,1000,hit,prefix,16,433.6
generic,625,1000,hit,prefix,32,493.7
generic,625,1000,hit,prefix,64,589.0
generic,625,1000,hit,prefix,625,2267.0
generic,625,1000,mix,scan,0,850.0
generic,625,1000,mix,prefix,1,194.5
generic,625,1000,mix,prefix,2,200.6
generic,625,1000,mix,prefix,4,207.8
generic,625,1000,mix,prefix,8,215.6
